title	venue	code_url	arxiv_id	paper_url	code_commit	status	notes	repo_valid	stars	domain	venue_track
Efficient Adaptation of Pre-trained Vision Transformer underpinned by Approximately Orthogonal Fine-Tuning Strategy	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yang_Efficient_Adaptation_of_Pre-trained_Vision_Transformer_underpinned_by_Approximately_Orthogonal_ICCV_2025_paper.html		auto					main
MM-IFEngine: Towards Multimodal Instruction Following	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Ding_MM-IFEngine_Towards_Multimodal_Instruction_Following_ICCV_2025_paper.html		auto					main
ROADWork: A Dataset and Benchmark for Learning to Recognize, Observe, Analyze and Drive Through Work Zones	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Ghosh_ROADWork_A_Dataset_and_Benchmark_for_Learning_to_Recognize_Observe_ICCV_2025_paper.html		auto					main
Gradient Decomposition and Alignment for Incremental Object Detection	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Luo_Gradient_Decomposition_and_Alignment_for_Incremental_Object_Detection_ICCV_2025_paper.html		auto					main
Gradient Extrapolation for Debiased Representation Learning	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Asaad_Gradient_Extrapolation_for_Debiased_Representation_Learning_ICCV_2025_paper.html		auto					main
Improving Large Vision and Language Models by Learning from a Panel of Peers	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Hernandez_Improving_Large_Vision_and_Language_Models_by_Learning_from_a_ICCV_2025_paper.html		auto					main
Federated Representation Angle Learning	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yi_Federated_Representation_Angle_Learning_ICCV_2025_paper.html		auto					main
Why LVLMs Are More Prone to Hallucinations in Longer Responses: The Role of Context	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zheng_Why_LVLMs_Are_More_Prone_to_Hallucinations_in_Longer_Responses_ICCV_2025_paper.html		auto					main
Training-Free Personalization via Retrieval and Reasoning on Fingerprints	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Das_Training-Free_Personalization_via_Retrieval_and_Reasoning_on_Fingerprints_ICCV_2025_paper.html		auto					main
VisionMath: Vision-Form Mathematical Problem-Solving	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Ma_VisionMath_Vision-Form_Mathematical_Problem-Solving_ICCV_2025_paper.html		auto					main
CWNet: Causal Wavelet Network for Low-Light Image Enhancement	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zhang_CWNet_Causal_Wavelet_Network_for_Low-Light_Image_Enhancement_ICCV_2025_paper.html		auto					main
CoA-VLA: Improving Vision-Language-Action Models via Visual-Text Chain-of-Affordance	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Li_CoA-VLA_Improving_Vision-Language-Action_Models_via_Visual-Text_Chain-of-Affordance_ICCV_2025_paper.html		auto					main
Doodle Your Keypoints: Sketch-Based Few-Shot Keypoint Detection	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Maity_Doodle_Your_Keypoints_Sketch-Based_Few-Shot_Keypoint_Detection_ICCV_2025_paper.html		auto					main
Open-Vocabulary Octree-Graph for 3D Scene Understanding	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wang_Open-Vocabulary_Octree-Graph_for_3D_Scene_Understanding_ICCV_2025_paper.html		auto					main
Head2Body: Body Pose Generation from Multi-sensory Head-mounted Inputs	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Tran_Head2Body_Body_Pose_Generation_from_Multi-sensory_Head-mounted_Inputs_ICCV_2025_paper.html		auto					main
Closed-Loop Transfer for Weakly-supervised Affordance Grounding	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Tang_Closed-Loop_Transfer_for_Weakly-supervised_Affordance_Grounding_ICCV_2025_paper.html		auto					main
Zeroth-Order Fine-Tuning of LLMs in Random Subspaces	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yu_Zeroth-Order_Fine-Tuning_of_LLMs_in_Random_Subspaces_ICCV_2025_paper.html		auto					main
G2D: Boosting Multimodal Learning with Gradient-Guided Distillation	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Rakib_G2D_Boosting_Multimodal_Learning_with_Gradient-Guided_Distillation_ICCV_2025_paper.html		auto					main
PAN-Crafter: Learning Modality-Consistent Alignment for PAN-Sharpening	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Do_PAN-Crafter_Learning_Modality-Consistent_Alignment_for_PAN-Sharpening_ICCV_2025_paper.html		auto					main
Rethinking Few Shot CLIP Benchmarks: A Critical Analysis in the Inductive Setting	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Kravets_Rethinking_Few_Shot_CLIP_Benchmarks_A_Critical_Analysis_in_the_ICCV_2025_paper.html		auto					main
GSOT3D: Towards Generic 3D Single Object Tracking in the Wild	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Jiao_GSOT3D_Towards_Generic_3D_Single_Object_Tracking_in_the_Wild_ICCV_2025_paper.html		auto					main
What You Have is What You Track: Adaptive and Robust Multimodal Tracking	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Tan_What_You_Have_is_What_You_Track_Adaptive_and_Robust_ICCV_2025_paper.html		auto					main
Generative Zoo	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Niewiadomski_Generative_Zoo_ICCV_2025_paper.html		auto					main
Any-SSR: How Recursive Least Squares Works in Continual Learning of Large Language Model	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Tong_Any-SSR_How_Recursive_Least_Squares_Works_in_Continual_Learning_of_ICCV_2025_paper.html		auto					main
Instruction-Oriented Preference Alignment for Enhancing Multi-Modal Comprehension Capability of MLLMs	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wang_Instruction-Oriented_Preference_Alignment_for_Enhancing_Multi-Modal_Comprehension_Capability_of_MLLMs_ICCV_2025_paper.html		auto					main
SFUOD: Source-Free Unknown Object Detection	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Park_SFUOD_Source-Free_Unknown_Object_Detection_ICCV_2025_paper.html		auto					main
