title	venue	code_url	arxiv_id	paper_url	code_commit	status	notes	repo_valid	stars	domain	venue_track
High Probability Bounds for Cross-Learning Contextual Bandits with Unknown Context Distributions	ICLR			https://openreview.net/forum?id=zzR1Uskhj0		auto					main
Exploration by Running Away from the Past	ICLR			https://openreview.net/forum?id=zyGrziIVdE		auto					main
Generalization for Least Squares Regression with Simple Spiked Covariances	ICLR			https://openreview.net/forum?id=zxqdVo9FjY		auto					main
Re-Imagining Multimodal Instruction Tuning: A Representation View	ICLR		2503.00723	https://openreview.net/forum?id=zxg6601zoc		auto					main
Emergent Symbol-Like Number Variables in Artificial Neural Networks	ICLR			https://openreview.net/forum?id=zxbQLztmwb		auto					main
Inverse decision-making using neural amortized Bayesian actors	ICLR			https://openreview.net/forum?id=zxO4WuVGns		auto					main
TACD-GRU: Time-Aware Context-Dependent Autoregressive Model for Irregularly Sampled Time Series	ICLR			https://openreview.net/forum?id=zwuemuTiN8		auto					main
Spiking Transformer-CNN for Event-based Object Detection	ICLR			https://openreview.net/forum?id=zweyouirw7		auto					main
Designing Concise ConvNets with Columnar Stages	ICLR			https://openreview.net/forum?id=zvaiz3FjA9		auto					main
Parameter Space Representation Learning on Mixed-type Data	ICLR			https://openreview.net/forum?id=zvYJ1qG1Fy		auto					main
Differentiable Implicit Solver on Graph Neural Networks for Forward and Inverse Problems	ICLR			https://openreview.net/forum?id=zuuhtmK1Ub		auto					main
HELENE: Hessian Layer-wise Clipping and Gradient Annealing for Accelerating Fine-tuning LLM with Zeroth-order Optimization	ICLR			https://openreview.net/forum?id=zuOnOAHBMy		auto					main
Quantized Approximately Orthogonal Recurrent Neural Networks	ICLR			https://openreview.net/forum?id=zuKrRYM3Tg		auto					main
MVTokenFlow: High-quality 4D Content Generation using Multiview Token Flow	ICLR		2502.11697	https://openreview.net/forum?id=zu7cBTPsDb		auto					main
ReDeEP: Detecting Hallucination in Retrieval-Augmented Generation via Mechanistic Interpretability	ICLR			https://openreview.net/forum?id=ztzZDzgfrh		auto					main
Accelerating Block Coordinate Descent for LLM Finetuning via Landscape Correction	ICLR			https://openreview.net/forum?id=zs6bRl05g8		auto					main
Leveraging Implicit Sentiments: Enhancing Reliability and Validity in Psychological Trait Evaluation of LLMs	ICLR			https://openreview.net/forum?id=zrdkQaf48Z		auto					main
SSIF: Physics-Inspired Implicit Representations for Spatial-Spectral Image Super-Resolution	ICLR			https://openreview.net/forum?id=zrNbsV87Os		auto					main
Let the Code LLM Edit Itself When You Edit the Code	ICLR			https://openreview.net/forum?id=zqzsZ5cXbB		auto					main
Fewer May Be Better: Enhancing Offline Reinforcement Learning with Reduced Dataset	ICLR		2502.18955	https://openreview.net/forum?id=zqtql1YmlS		auto					main
SPEAR: Receiver-to-Receiver Acoustic Neural Warping Field	ICLR			https://openreview.net/forum?id=zq1zTgSBro		auto					main
Geometry-Informed Neural Networks	ICLR			https://openreview.net/forum?id=zpX0teJu9Z		auto					main
GraphIC: A Graph-Based In-Context Example Retrieval Model for Multi-Step Reasoning	ICLR			https://openreview.net/forum?id=zpLcZ2AyDK		auto					main
Generalizing Reasoning Problems to Longer Lengths	ICLR			https://openreview.net/forum?id=zpENPcQSj1		auto					main
Physics of Language Models: Part 2.2, How to Learn From Mistakes on Grade-School Math Problems	ICLR			https://openreview.net/forum?id=zpDGwcmMV4		auto					main
Why Has Predicting Downstream Capabilities of Frontier AI Models with Scale Remained Elusive?	ICLR			https://openreview.net/forum?id=zpBamnxyPm		auto					main
3DRealCar: An In-the-wild RGB-D Car Dataset with 360-degree Views	ICLR			https://openreview.net/forum?id=zo049dh2r9		auto					main
Extreme composite compression of large language models through joint optimization	ICLR			https://openreview.net/forum?id=zno7tZVG8T		auto					main
Understanding the Stability-based Generalization of Personalized Federated Learning	ICLR	https://github.com/YingqiLiu1999/Understanding-the-Stability-based-Generalization-of-Personalized-Federated-Learning		https://openreview.net/forum?id=znhZbonEoe		auto					main
Interpretability of LLM Deception: Universal Motif	ICLR	https://github.com/safellm-2024/llm_deception		https://openreview.net/forum?id=znL549Ymoi		auto					main
The other you in black mirror: first steps from chatbots to personalized LLM clones	ICLR			https://openreview.net/forum?id=znGnmAM44K		auto					main
GUD: Generation with Unified Diffusion	ICLR			https://openreview.net/forum?id=zn0eqMtsrw		auto					main
IgGM: A Generative Model for Functional Antibody and Nanobody Design	ICLR	https://github.com/TencentAI4S/IgGM		https://openreview.net/forum?id=zmmfsJpYcq		auto					main
MMTEB: Massive Multilingual Text Embedding Benchmark	ICLR			https://openreview.net/forum?id=zl3pfz4VCV		auto					main
RuleRAG: Rule-Guided Retrieval-Augmented Generation with Language Models for Question Answering	ICLR			https://openreview.net/forum?id=zl3nFqY8l1		auto					main
Probabilistic Learning to Defer: Handling Missing Expert Annotations and Controlling Workload Distribution	ICLR			https://openreview.net/forum?id=zl0HLZOJC9		auto					main
Synergistic Approach for Simultaneous Optimization of Monolingual, Cross-lingual, and Multilingual Information Retrieval	ICLR			https://openreview.net/forum?id=zkNCWtw2fd		auto					main
Elucidating the Design Space of Language Models for Image Generation	ICLR			https://openreview.net/forum?id=zkMRmW3gcT		auto					main
State & Image Guidance: Teaching Old Text-to-Video Diffusion Models New Tricks	ICLR			https://openreview.net/forum?id=zkGxROm7D3		auto					main
Ultra-Sparse Memory Network	ICLR			https://openreview.net/forum?id=zjeHLSiNv1		auto					main
