title	venue	code_url	arxiv_id	paper_url	code_commit	status	notes	repo_valid	stars	domain	venue_track
UnHiPPO: Uncertainty-aware Initialization for State Space Models	ICML		2506.05065	https://openreview.net/forum?id=U8GUmxnzXn		auto					poster
When Will It Fail?: Anomaly to Prompt for Forecasting Future Anomalies in Time Series	ICML		2506.23596	https://openreview.net/forum?id=Dqp6IMI3gQ		auto					poster
KGMark: A Diffusion Watermark for Knowledge Graphs	ICML		2505.23873	https://openreview.net/forum?id=GKZySvM2t9		auto					poster
LSCD: Lomb--Scargle Conditioned Diffusion for Time series Imputation	ICML			https://openreview.net/forum?id=GdYg0Ohx0k		auto					poster
Emoji Attack: Enhancing Jailbreak Attacks Against Judge LLM Detection	ICML			https://openreview.net/forum?id=Q0rKYiVEZq		auto					poster
Towards Practical Defect-Focused Automated Code Review	ICML		2505.17928	https://openreview.net/forum?id=mEV0nvHcK3		auto					spotlight
HiRemate: Hierarchical Approach for Efficient Re-materialization of Neural Networks	ICML			https://openreview.net/forum?id=rnx11J4hsg		auto					poster
ITFormer: Bridging Time Series and Natural Language for Multi-Modal QA with Large-Scale Multitask Dataset	ICML		2506.20093	https://openreview.net/forum?id=GByP03IitA		auto					poster
GPEN: Global Position Encoding Network for Enhanced Subgraph Representation Learning	ICML			https://openreview.net/forum?id=7QFmZ7i7sr		auto					poster
Fast Min-$\epsilon$ Segmented Regression using Constant-Time Segment Merging	ICML			https://openreview.net/forum?id=w2QNIkcwWw		auto					poster
How Compositional Generalization and Creativity Improve as Diffusion Models are Trained	ICML		2502.12089	https://openreview.net/forum?id=1OUEnfusEd		auto					poster
Gradient-based Explanations for Deep Learning Survival Models	ICML		2502.04970	https://openreview.net/forum?id=P0wSGDoip1		auto					poster
Pairwise Maximum Likelihood For Multi-Class Logistic Regression Model With Multiple Rare Classes	ICML			https://openreview.net/forum?id=9Kywz2fO26		auto					poster
ShieldAgent: Shielding Agents via Verifiable Safety Policy Reasoning	ICML		2503.22738	https://openreview.net/forum?id=DkRYImuQA9		auto					poster
Rethinking Benign Overfitting in Two-Layer Neural Networks	ICML		2502.11893	https://openreview.net/forum?id=Uc0dTE2Wox		auto					poster
Symmetry-Aware GFlowNets	ICML		2506.02685	https://openreview.net/forum?id=JD4eHocSPi		auto					poster
Kinetic Langevin Diffusion for Crystalline Materials Generation	ICML		2507.03602	https://openreview.net/forum?id=7J1kwZY72h		auto					poster
CombiMOTS: Combinatorial Multi-Objective Tree Search for Dual-Target Molecule Generation	ICML	https://github.com/Tibogoss/CombiMOTS		https://openreview.net/forum?id=FSlTEObdLl	7452dc81b0546553ce500829bd631fdbef98962e	auto		True			poster
Scalable Meta-Learning via Mixed-Mode Differentiation	ICML		2505.00793	https://openreview.net/forum?id=NWKjVzkDzg		auto					poster
