title	venue	code_url	arxiv_id	paper_url	code_commit	status	notes	repo_valid	stars	domain	venue_track
PTZ-Calib: Robust Pan-Tilt-Zoom Camera Calibration	ICRA	https://github.com/gjgjh/PTZ-Calib	2502.09075	https://arxiv.org/abs/2502.09075		auto					main
Variable-Stiffness Nasotracheal Intubation Robot with Passive Buffering: A Modular Platform in Mannequin Studies	ICRA					auto					main
HPRM: High-Performance Robotic Middleware for Intelligent Autonomous Systems	ICRA		2412.01799			auto					main
Impedance Primitive-Augmented Hierarchical Reinforcement Learning for Sequential Tasks	ICRA		2508.19607	https://arxiv.org/abs/2508.19607		auto					main
RoBiFusion: A Robust and Bidirectional Interaction Camera-LiDAR 3D Object Detection Framework	ICRA					auto					main
A Visual Servo System for Robotic on-Orbit Servicing Based on 3D Perception of Non-Cooperative Satellite	ICRA					auto					main
Multi-Drone-Truck Collaborative Delivery with En Route Operations: A Hierarchical MARL-Based Approach	ICRA					auto					main
Robust Planning for Autonomous Driving via Mixed Adversarial Diffusion Predictions	ICRA		2505.12327	https://arxiv.org/abs/2505.12327		auto					main
Efficiently Generating Expressive Quadruped Behaviors via Language-Guided Preference Learning	ICRA		2502.03717	https://arxiv.org/abs/2502.03717		auto					main
Scalable Multi-Agent Surveillance: a Kernel-Based Approach	ICRA					auto					main
Diffusion-Based Generative Models for 3D Occupancy Prediction in Autonomous Driving	ICRA		2505.23115	https://arxiv.org/abs/2505.23115		auto					main
Improving Grip Stability Using Passive Compliant Microspine Arrays for Soft Robots in Unstructured Terrain	ICRA		2502.12347	https://arxiv.org/abs/2502.12347		auto					main
Valg: Vision-Based Adaptive Laser Gripper for Model-Free Pose Control of Floating Objects at Air-Liquid Interface	ICRA					auto					main
Designing Experimental Setup Emulating Log-Loader Manipulator and Implementing Anti-Sway Trajectory Planner	ICRA					auto					main
Multi-Task Robustness Enhancement Framework against Various Adversarial Patches	ICRA					auto					main
Fuel-Optimal Operational Speed Planning for Autonomous Trucking on Highways	ICRA					auto					main
Design, Implementation, and Validation of an Ungrounded Visuo-Tactile Haptic Interface for Robotic Teleoperation in High-Risk Steel Production	ICRA					auto					main
Detecting Perception-Based Attacks using Visual Odometry: Inconsistency Modeling and Checking on Robotic States	ICRA					auto					main
Large Language Model Based Autonomous Task Planning for Abstract Commands	ICRA					auto					main
Koopman Operator Based Linear Model Predictive Control for Quadruped Trotting	ICRA		2508.08259	https://arxiv.org/abs/2508.08259		auto					main
Towards Evaluating the User Comfort and Experience of a Novel Steerable Drilling Robotic System in Pedicle Screw Fixation Procedures: A User Study	ICRA					auto					main
Optimal Gait Control for a Tendon-Driven Soft Quadruped Robot by Model-Based Reinforcement Learning	ICRA					auto					main
VSB - Variable Stiffness Based on Bowden Cables: A Simple Mechanism for Soft Robotic Hands	ICRA					auto					main
AI-Enhanced Automatic Design of Efficient Underwater Gliders	ICRA		2505.00222	https://arxiv.org/abs/2505.00222		auto					main
Gesturing Towards Efficient Robot Control: Exploring Sensor Placement and Control Modes for Mid-Air Human-Robot Interaction	ICRA					auto					main
SANDRO: A Robust Solver with a Splitting Strategy for Point Cloud Registration	ICRA		2503.07743	https://arxiv.org/abs/2503.07743		auto					main
SIMP: Real-Time Energy and Time-Efficient 3D Motion Planning for Bio-Inspired AUVs	ICRA					auto					main
Learning Quiet Walking for a Small Home Robot	ICRA		2502.10983	https://arxiv.org/abs/2502.10983		auto					main
Motion Tracks: A Unified Representation for Human-Robot Transfer in Few-Shot Imitation Learning	ICRA		2501.06994	https://arxiv.org/abs/2501.06994		auto					main
UA-PnP: Uncertainty-Aware End-to-End Bird's Eye View Visual Perception and Prediction for Autonomous Driving	ICRA					auto					main
JORD: A Benchmark Dataset for Off-Road LiDAR Place Recognition and SLAM	ICRA					auto					main
Spatially Constrained and Deeply Learned Bilateral Structural Intensity-Depth Registration Autonomously Navigates a Flexible Endoscope	ICRA					auto					main
Dynamic Compact Consensus Tracking for Aerial Robots	ICRA					auto					main
Synthesizing Depowdering Trajectories for Robot Arms using Deep Reinforcement Learning	ICRA					auto					main
Towards Safe and Energy-Efficient Real-Time Motion Planning in Windy Urban Environments	ICRA					auto					main
Unlocking Potential: Gaze-Based Interfaces in Assistive Robotics for Users with Severe Speech and Motor Impairment	ICRA					auto					main
Latent Embedding Adaptation for Human Preference Alignment in Diffusion Planners	ICRA		2503.18347	https://arxiv.org/abs/2503.18347		auto					main
Whenever, Wherever: Towards Orchestrating Crowd Simulations with Spatio-Temporal Spawn Dynamics	ICRA		2503.16639	https://arxiv.org/abs/2503.16639		auto					main
SEAL: A Sample-Efficient Adjustment-Learning Method for Table Tennis Robot Serve	ICRA					auto					main
KFCalibNet: A KansFormer-Based Self-Calibration Network for Camera and LiDAR	ICRA					auto					main
RMSeg-UDA: Unsupervised Domain Adaptation for Road Marking Segmentation Under Adverse Conditions	ICRA					auto					main
DoorBot: Closed-Loop Task Planning and Manipulation for Door Opening in the Wild with Haptic Feedback	ICRA		2504.09358	https://arxiv.org/abs/2504.09358		auto					main
Robotic Space Simulator: Controls Implementation for Auxiliary Axes and Zero-G Dynamics	ICRA					auto					main
Reliable Aerial Manipulation: Combining Visual Tracking with Range Sensing for Robust Grasping	ICRA					auto					main
ZeroBP: Learning Position-Aware Correspondence for Zero-Shot 6D Pose Estimation in Bin-Picking	ICRA		2502.01004	https://arxiv.org/abs/2502.01004		auto					main
Back to the Cartesian: Pilot Study for Assessing Human Stiffness in 3D Cartesian Space by Transforming from Muscle Space in a Peg-In-Hole Scenario for Tele-Impedance	ICRA					auto					main
Duolingo: Dynamics Utilization for Online Translation of Actions	ICRA					auto					main
Target-Aware Viewpoint Generation for Active Robotic Exploration in Unknown Environments	ICRA					auto					main
Distributed Loitering Synchronization with Fixed-Wing UAVs	ICRA					auto					main
Parallel-Constraint Model Predictive Control: Exploiting Parallel Computation for Improving Safety	ICRA		2509.03261	https://arxiv.org/abs/2509.03261		auto					main
Towards Latency-Aware 3D Streaming Perception for Autonomous Driving	ICRA		2504.19115	https://arxiv.org/abs/2504.19115		auto					main
RL-GSBridge: 3D Gaussian Splatting Based Real2Sim2Real Method for Robotic Manipulation Learning	ICRA					auto					main
Efficient Optimization of a Permanent Magnet Array for a Stable 2D Trap	ICRA		2511.19201	https://arxiv.org/abs/2511.19201		auto					main
DART: Dexterous Augmented Reality Teleoperation Platform for Large-Scale Robot Data Collection in Simulation	ICRA					auto					main
Neural Lyapunov Function Approximation with Self-Supervised Reinforcement Learning	ICRA	https://github.com/CAV-Research-Lab/SACLA.git	2503.15629	https://arxiv.org/abs/2503.15629		auto					main
FLEX: A Framework for Learning Robot-Agnostic Force-Based Skills Involving Sustained Contact Object Manipulation	ICRA		2503.13418	https://arxiv.org/abs/2503.13418		auto					main
DISC: Dataset for Analyzing Driving Styles in Simulated Crashes for Mixed Autonomy	ICRA		2502.00050	https://arxiv.org/abs/2502.00050		auto					main
Configuration-Adaptive Visual Relative Localization for Spherical Modular Self-Reconfigurable Robots	ICRA					auto					main
Multi-Segment Soft Robot Control Via Deep Koopman-Based Model Predictive Control	ICRA		2505.00354	https://arxiv.org/abs/2505.00354		auto					main
Physics-Informed Split Koopman Operators for Data-Efficient Soft Robotic Simulation	ICRA		2502.00162	https://arxiv.org/abs/2502.00162		auto					main
Task-Oriented 6-DoF Grasp Pose Detection in Clutters	ICRA		2502.16976	https://arxiv.org/abs/2502.16976		auto					main
Diffusion Based Robust LiDAR Place Recognition	ICRA		2504.12412	https://arxiv.org/abs/2504.12412		auto					main
LLGS: Unsupervised Gaussian Splatting for Image Enhancement and Reconstruction in Pure Dark Environment	ICRA		2503.18640	https://arxiv.org/abs/2503.18640		auto					main
A Piezoresistive Printable Strain Sensor for Monitoring and Control of Soft Robotic Links	ICRA					auto					main
OG-Gaussian: Occupancy Based Street Gaussians for Autonomous Driving	ICRA		2502.14235	https://arxiv.org/abs/2502.14235		auto					main
Capacitated Agriculture Fleet Vehicle Routing with Implements and Limited Autonomy: A Model and a Two-Phase Solution Approach	ICRA					auto					main
Automated Hybrid Reward Scheduling Via Large Language Models for Robotic Skill Learning	ICRA		2505.02483	https://arxiv.org/abs/2505.02483		auto					main
Towards Transparent Multi-Agent Autonomous Systems Through Principled Multi-Source Knowledge Distillation	ICRA					auto					main
RISED: Accurate and Efficient RGB-Colorized Mapping Using Image Selection and Point Cloud Densification	ICRA					auto					main
A2DO: Adaptive Anti-Degradation Odometry with Deep Multi-Sensor Fusion for Autonomous Navigation	ICRA		2502.20767	https://arxiv.org/abs/2502.20767		auto					main
From Configuration-Space Clearance to Feature-Space Margin: Sample Complexity in Learning-Based Collision Detection	ICRA		2502.04170	https://arxiv.org/abs/2502.04170		auto					main
Inverse Kinematics on Guiding Vector Fields for Robot Path Following	ICRA		2502.17313	https://arxiv.org/abs/2502.17313		auto					main
