paper_id,fit_status,strict_bin,lenient_best_bin,claims_total,claims_covered,claim_ratio,per_paper_total_gb,per_paper_max_asset_gb
bamboo-00001,oversize-floor,,,6,0,0.0,406.3,326.0
bamboo-00002,leftover,,,16,0,0.0,107.085,25.783
bamboo-00003,strict,1,,30,30,1.0,0.166,0.098
bamboo-00004,oversize-floor,,1,27,21,0.778,155.933,155.0
bamboo-00005,leftover,,21,29,6,0.207,122.228,121.366
bamboo-00006,strict,5,,18,18,1.0,27.463,25.0
bamboo-00007,strict,9,,25,25,1.0,2.766,1.252
bamboo-00008,leftover,,,18,0,0.0,20.995,11.184
bamboo-00009,strict,39,,24,24,1.0,3.406,0.8
bamboo-00010,leftover,,,19,0,0.0,14.973,12.6
bamboo-00011,strict,14,,30,30,1.0,2.593,0.8
bamboo-00012,strict,5,,29,29,1.0,5.863,4.0
bamboo-00013,strict,5,,24,24,1.0,0.054,0.054
bamboo-00014,leftover,,2,27,1,0.037,75.109,24.859
bamboo-00015,strict,49,,17,17,1.0,6.128,3.0
bamboo-00016,strict,2,,30,30,1.0,0.889,0.466
bamboo-00017,strict,22,,30,30,1.0,0.898,0.803
bamboo-00018,oversize-floor,,9,27,7,0.259,766.987,640.484
bamboo-00019,leftover,,,0,0,0.0,21.999,4.852
bamboo-00020,leftover,,41,30,18,0.6,17.801,16.937
bamboo-00021,strict,39,,26,26,1.0,3.746,2.107
bamboo-00022,oversize-floor,,,1,0,0.0,219.0,155.0
bamboo-00023,oversize-total,,,18,0,0.0,196.124,130.4
bamboo-00024,leftover,,,7,0,0.0,9.965,9.965
bamboo-00025,strict,35,,6,6,1.0,6.108,4.657
bamboo-00026,leftover,,22,30,12,0.4,14.763,12.6
bamboo-00027,strict,39,,30,30,1.0,4.432,2.641
bamboo-00028,strict,43,,30,30,1.0,6.78,3.725
bamboo-00029,strict,39,,16,16,1.0,3.675,2.875
bamboo-00030,leftover,,,52,0,0.0,13.839,13.039
bamboo-00031,leftover,,,9,0,0.0,19.998,14.183
bamboo-00032,leftover,,,30,0,0.0,15.444,5.464
bamboo-00033,oversize-floor,,,6,0,0.0,1216.119,1210.719
bamboo-00034,strict,20,,12,12,1.0,0.8,0.8
bamboo-00035,strict,10,,30,30,1.0,3.924,1.593
bamboo-00036,oversize-floor,,,30,0,0.0,710.989,631.998
bamboo-00037,leftover,,,10,0,0.0,104.923,83.819
bamboo-00038,strict,14,,30,30,1.0,2.944,0.8
